time	longitude	latitude	altitude
755143836.0000000000000000	125.5826410911630973	35.8813370546671351	352676.9805732928216457
755143846.0000000000000000	125.4105794309283226	36.5291109241917482	352614.3150876313447952
755143856.0000000000000000	125.2363150126601141	37.1767421222498484	352552.0624425839632750
755143866.0000000000000000	125.0597573396386224	37.8242245369385728	352490.2452387185767293
755143876.0000000000000000	124.8808116333105716	38.4715517727300309	352428.8860962782055140
755143886.0000000000000000	124.6993785653244515	39.1187171322480580	352368.0076442165300250
755143896.0000000000000000	124.5153539630964730	39.7657135966653215	352307.6325091971084476
755143906.0000000000000000	124.3286284971311062	40.4125338045976008	352247.7833045991137624
755143916.0000000000000000	124.1390873460493509	41.0591700293586470	352188.4826194755733013
755143926.0000000000000000	123.9466098296604883	41.7056141544255752	352129.7530075460672379
755143936.0000000000000000	123.7510690176979153	42.3518576469484387	352071.6169761512428522
755143946.0000000000000000	123.5523313074179725	42.9978915291201957	352014.0969752483069897
755143956.0000000000000000	123.3502559654838677	43.6437063472033557	351957.2153863990679383
755143966.0000000000000000	123.1446946350816489	44.2892921379871680	351900.9945117775350809
755143976.0000000000000000	122.9354907980294058	44.9346383924244464	351845.4565632147714496
755143986.0000000000000000	122.7224791950057465	45.5797340161689419	351790.6236512660980225
755143996.0000000000000000	122.5054852007491775	46.2245672867019906	351736.5177743081003428
755144006.0000000000000000	122.2843241330771065	46.8691258067020584	351683.1608076998963952
755144016.0000000000000000	122.0588005148727007	47.5133964532697206	351630.5744929676875472
755144026.0000000000000000	121.8287072642035156	48.1573653225749680	351578.7804270666092634
755144036.0000000000000000	121.5938248124600989	48.8010176694419329	351527.8000516816973686
755144046.0000000000000000	121.3539201466822277	49.4443378413268206	351477.6546426136046648
755144056.0000000000000000	121.1087457550779476	50.0873092060778689	351428.3652992229908705
755144066.0000000000000000	120.8580384820585749	50.7299140727893629	351379.9529339578002691
755144076.0000000000000000	120.6015182746030092	51.3721336049751329	351332.4382619634270668
755144086.0000000000000000	120.3388868004364554	52.0139477251861777	351285.8417907711118460
755144096.0000000000000000	120.0698259403422981	52.6553350100832205	351240.1838100953027606
755144106.0000000000000000	119.7939961264396231	53.2962725748438473	351195.4843817157670856
755144116.0000000000000000	119.5110345162984942	53.9367359456328828	351151.7633294714614749
755144126.0000000000000000	119.2205529788415106	54.5766989186905747	351109.0402293549850583
755144136.0000000000000000	118.9221358720723742	55.2161334043933039	351067.3343997308984399
755144146.0000000000000000	118.6153375888764288	55.8550092544091399	351026.6648916676640511
755144156.0000000000000000	118.2996798433252224	56.4932940698021042	350987.0504793813452125
755144166.0000000000000000	117.9746486572496309	57.1309529876270901	350948.5096508283168077
755144176.0000000000000000	117.6396910202688133	57.7679484431947969	350911.0605984227731824
755144186.0000000000000000	117.2942111766724054	58.4042399047627327	350874.7212098734453321
755144196.0000000000000000	116.9375664923905163	59.0397835769144024	350839.5090591916814446
755144206.0000000000000000	116.5690628425064688	59.6745320683100786	350805.4413978271186352
755144216.0000000000000000	116.1879494642408872	60.3084340188147650	350772.5351459514349699
755144226.0000000000000000	115.7934131956017580	60.9414336802087320	350740.8068839060142636
755144236.0000000000000000	115.3845720266082822	61.5734704437480147	350710.2728438051417470
755144246.0000000000000000	114.9604678482908895	62.2044783067295484	350680.9489012956619263
755144256.0000000000000000	114.5200583143208917	62.8343852689019613	350652.8505674926564097
755144266.0000000000000000	114.0622076690618343	63.4631126480030048	350625.9929810753092170
755144276.0000000000000000	113.5856764054422428	64.0905743018522287	350600.3909005597233772
755144286.0000000000000000	113.0891095754339659	64.7166757422186691	350576.0586967505514622
755144296.0000000000000000	112.5710235684247635	65.3413131230500284	350553.0103453714400530
755144306.0000000000000000	112.0297911182837822	65.9643720825008018	350531.2594198770821095
755144316.0000000000000000	111.4636242942384285	66.5857264144243715	350510.8190844580531120
755144326.0000000000000000	110.8705551557631850	67.2052365404732228	350491.7020872281864285
755144336.0000000000000000	110.2484137447039529	67.8227477485204560	350473.9207536093890667
755144346.0000000000000000	109.5948030039395178	68.4380881565929968	350457.4869799101725221
755144356.0000000000000000	108.9070701791057871	69.0510663536641971	350442.4122271072119474
755144366.0000000000000000	108.1822741751717558	69.6614686592332077	350428.7075148215517402
755144376.0000000000000000	107.4171483050624119	70.2690559323096835	350416.3834155006334186
755144386.0000000000000000	106.6080577728778138	70.8735598468819461	350405.4500488154590130
755144396.0000000000000000	105.7509511981404415	71.4746785347904989	350395.9170762468129396
755144406.0000000000000000	104.8413054229845756	72.0720714777623783	350387.7936959061771631
755144416.0000000000000000	103.8740628514335640	72.6653535078176134	350381.0886375457048416
755144426.0000000000000000	102.8435605947312581	73.2540877490703082	350375.8101578066125512
755144436.0000000000000000	101.7434508329816367	73.8377773040914605	350371.9660356640815735
755144446.0000000000000000	100.5666120745317613	74.4158554549199067	350369.5635681049898267
755144456.0000000000000000	99.3050515144720407	74.9876741138028962	350368.6095660151913762
755144466.0000000000000000	97.9497995398200061	75.5524902245714856	350369.1103502968326211
755144476.0000000000000000	96.4907988416800464	76.1094497874117053	350371.0717482101172209
755144486.0000000000000000	94.9167927486222567	76.6575691667835315	350374.4990899227559566
755144496.0000000000000000	93.2152207598618219	77.1957133596234542	350379.3972053155303001
755144506.0000000000000000	91.3721341332479398	77.7225709732763761	350385.7704209834337234
755144516.0000000000000000	89.3721514762726343	78.2366258278860158	350393.6225574882701039
755144526.0000000000000000	87.1984841297597626	78.7361254128255723	350402.9569268226623535
755144536.0000000000000000	84.8330741841967466	79.2190469710146346	350413.7763301236554980
